,date,FLOODING,orbit,filename,folder,count
8,2019-01-03,False,ASCENDING,S1B_IW_GRDH_1SSV_20190103T172455_20190103T172531_014332_01AAAE_5245,0004,12
7,2019-01-02,False,ASCENDING,S1A_IW_GRDH_1SDV_20190102T173411_20190102T173436_025301_02CC97_56BD,0004,12
6,2019-01-02,False,ASCENDING,S1A_IW_GRDH_1SDV_20190102T173346_20190102T173411_025301_02CC97_68EA,0004,12
5,2018-12-28,False,ASCENDING,S1A_IW_GRDH_1SDV_20181228T172604_20181228T172629_025228_02CA07_C927,0004,12
4,2018-12-22,False,ASCENDING,S1B_IW_GRDH_1SSV_20181222T172455_20181222T172531_014157_01A4ED_D2C3,0004,12
3,2018-12-21,False,ASCENDING,S1A_IW_GRDH_1SDV_20181221T173412_20181221T173437_025126_02C648_B354,0004,12
2,2018-12-21,False,ASCENDING,S1A_IW_GRDH_1SDV_20181221T173347_20181221T173412_025126_02C648_A3BD,0004,12
1,2018-12-16,False,ASCENDING,S1A_IW_GRDH_1SDV_20181216T172604_20181216T172629_025053_02C3AD_6EEA,0004,12
8,2019-03-07,True,DESCENDING,S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B,0307,8
7,2019-02-23,True,DESCENDING,S1A_IW_GRDH_1SDV_20190223T194432_20190223T194457_026061_02E7F3_3C3A,0307,8
6,2019-02-12,True,ASCENDING,S1B_IW_GRDH_1SDV_20190212T084222_20190212T084251_014910_01BD61_C22B,0307,8
5,2019-02-11,True,DESCENDING,S1A_IW_GRDH_1SDV_20190211T194432_20190211T194457_025886_02E1B7_4856,0307,8
4,2019-02-06,True,ASCENDING,S1A_IW_GRDH_1SDV_20190206T084322_20190206T084356_025806_02DECC_48D4,0307,8
3,2019-02-05,True,DESCENDING,S1B_IW_GRDH_1SDV_20190205T194327_20190205T194356_014815_01BA56_586F,0307,8
2,2019-01-30,True,DESCENDING,S1A_IW_GRDH_1SDV_20190130T194433_20190130T194458_025711_02DB77_9523,0307,8
1,2019-01-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190118T194433_20190118T194458_025536_02D511_B847,0307,8
25,2019-04-14,True,ASCENDING,S1B_IW_GRDH_1SDV_20190414T155907_20190414T155936_015804_01DABB_37C4,0167,25
24,2019-04-14,True,DESCENDING,S1A_IW_GRDH_1SDV_20190414T030014_20190414T030039_026780_03023E_1A32,0167,25
23,2019-04-07,True,DESCENDING,S1A_IW_GRDH_1SDV_20190407T030815_20190407T030840_026678_02FE78_6C19,0167,25
22,2019-04-02,True,ASCENDING,S1B_IW_GRDH_1SDV_20190402T155906_20190402T155936_015629_01D4EB_9733,0167,25
21,2019-04-02,True,DESCENDING,S1A_IW_GRDH_1SDV_20190402T030013_20190402T030038_026605_02FBD7_53B9,0167,25
20,2019-03-26,True,DESCENDING,S1A_IW_GRDH_1SDV_20190326T030815_20190326T030840_026503_02F802_C26D,0167,25
19,2019-03-21,True,ASCENDING,S1B_IW_GRDH_1SDV_20190321T155906_20190321T155935_015454_01CF28_4BF5,0167,25
18,2019-03-21,True,DESCENDING,S1A_IW_GRDH_1SDV_20190321T030013_20190321T030038_026430_02F55F_1257,0167,25
17,2019-03-20,True,DESCENDING,S1B_IW_GRDH_1SDV_20190320T030748_20190320T030813_015432_01CE6E_D9C4,0167,25
16,2019-03-20,True,DESCENDING,S1B_IW_GRDH_1SDV_20190320T030723_20190320T030748_015432_01CE6E_8DE3,0167,25
15,2019-03-15,True,ASCENDING,S1A_IW_GRDH_1SDV_20190315T155952_20190315T160020_026350_02F279_65CB,0167,25
14,2019-03-15,True,DESCENDING,S1B_IW_GRDH_1SDV_20190315T025918_20190315T025947_015359_01CC23_D3B2,0167,25
13,2019-03-14,True,ASCENDING,S1B_IW_GRDH_1SDV_20190314T160711_20190314T160736_015352_01CBEE_7F77,0167,25
12,2019-03-14,True,DESCENDING,S1A_IW_GRDH_1SDV_20190314T030815_20190314T030840_026328_02F196_7D7C,0167,25
11,2019-03-09,False,ASCENDING,S1B_IW_GRDH_1SDV_20190309T155906_20190309T155935_015279_01C97E_79BA,0167,25
10,2019-03-09,False,DESCENDING,S1A_IW_GRDH_1SDV_20190309T030013_20190309T030038_026255_02EEF0_7D38,0167,25
9,2019-03-02,False,DESCENDING,S1A_IW_GRDH_1SDV_20190302T030815_20190302T030840_026153_02EB31_6EB7,0167,25
8,2019-02-25,False,ASCENDING,S1B_IW_GRDH_1SDV_20190225T155906_20190225T155935_015104_01C3BB_E9BE,0167,25
7,2019-02-25,False,DESCENDING,S1A_IW_GRDH_1SDV_20190225T030013_20190225T030038_026080_02E8A1_8FDD,0167,25
6,2019-02-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190218T030815_20190218T030840_025978_02E4EB_4380,0167,25
5,2019-02-13,False,ASCENDING,S1B_IW_GRDH_1SDV_20190213T155906_20190213T155935_014929_01BDFA_2A13,0167,25
4,2019-02-13,False,DESCENDING,S1A_IW_GRDH_1SDV_20190213T030013_20190213T030038_025905_02E25D_0447,0167,25
3,2019-02-06,False,DESCENDING,S1A_IW_GRDH_1SDV_20190206T030815_20190206T030840_025803_02DEB0_ED53,0167,25
2,2019-02-01,False,ASCENDING,S1B_IW_GRDH_1SDV_20190201T155907_20190201T155936_014754_01B83C_9098,0167,25
1,2019-02-01,False,DESCENDING,S1A_IW_GRDH_1SDV_20190201T030014_20190201T030039_025730_02DC2B_1D60,0167,25
19,2019-04-17,True,ASCENDING,S1B_IW_GRDH_1SDV_20190417T162320_20190417T162345_015848_01DC3E_605F,0205,19
18,2019-04-12,True,DESCENDING,S1A_IW_GRDH_1SDV_20190412T031706_20190412T031731_026751_030125_194F,0205,19
17,2019-04-05,True,ASCENDING,S1B_IW_GRDH_1SDV_20190405T162319_20190405T162344_015673_01D66F_BCE7,0205,19
16,2019-03-31,True,ASCENDING,S1B_IW_GRDH_1SDV_20190331T161454_20190331T161529_015600_01D3F1_A8DB,0205,19
15,2019-03-31,True,DESCENDING,S1A_IW_GRDH_1SDV_20190331T031706_20190331T031731_026576_02FABC_DD51,0205,19
14,2019-03-30,True,ASCENDING,S1A_IW_GRDH_1SDV_20190330T162340_20190330T162405_026569_02FA83_35E1,0205,19
13,2019-03-30,True,ASCENDING,S1A_IW_GRDH_1SDV_20190330T162405_20190330T162427_026569_02FA83_B7DB,0205,19
12,2019-03-25,True,ASCENDING,S1A_IW_GRDH_1SDV_20190325T161548_20190325T161613_026496_02F7C9_BC80,0205,19
11,2019-03-25,True,DESCENDING,S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490,0205,19
10,2019-03-24,True,ASCENDING,S1B_IW_GRDH_1SDV_20190324T162319_20190324T162344_015498_01D0A4_DD55,0205,19
9,2019-03-19,True,ASCENDING,S1B_IW_GRDH_1SDV_20190319T161451_20190319T161520_015425_01CE3C_A401,0205,19
8,2019-03-19,True,DESCENDING,S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37,0205,19
6,2019-03-18,True,ASCENDING,S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335,0205,19
7,2019-03-13,False,ASCENDING,S1A_IW_GRDH_1SDV_20190313T161522_20190313T161557_026321_02F156_A8A9,0205,19
5,2019-03-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190312T162319_20190312T162344_015323_01CAFA_AB70,0205,19
4,2019-03-07,False,DESCENDING,S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209,0205,19
3,2019-02-28,False,ASCENDING,S1B_IW_GRDH_1SDV_20190228T162319_20190228T162344_015148_01C539_5754,0205,19
2,2019-02-23,False,DESCENDING,S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5,0205,19
1,2019-02-16,False,ASCENDING,S1B_IW_GRDH_1SDV_20190216T162319_20190216T162344_014973_01BF7C_F567,0205,19
31,2019-04-14,True,ASCENDING,S1B_IW_GRDH_1SDV_20190414T155907_20190414T155936_015804_01DABB_37C4,0166,31
30,2019-04-14,True,DESCENDING,S1A_IW_GRDH_1SDV_20190414T030014_20190414T030039_026780_03023E_1A32,0166,31
29,2019-04-07,True,ASCENDING,S1B_IW_GRDH_1SDV_20190407T160723_20190407T160748_015702_01D76E_0334,0166,31
28,2019-04-07,True,DESCENDING,S1A_IW_GRDH_1SDV_20190407T030815_20190407T030840_026678_02FE78_6C19,0166,31
27,2019-04-02,True,ASCENDING,S1B_IW_GRDH_1SDV_20190402T155906_20190402T155936_015629_01D4EB_9733,0166,31
26,2019-04-02,True,DESCENDING,S1A_IW_GRDH_1SDV_20190402T030013_20190402T030038_026605_02FBD7_53B9,0166,31
25,2019-03-26,True,ASCENDING,S1B_IW_GRDH_1SDV_20190326T160722_20190326T160747_015527_01D1AB_FE74,0166,31
24,2019-03-26,True,DESCENDING,S1A_IW_GRDH_1SDV_20190326T030815_20190326T030840_026503_02F802_C26D,0166,31
23,2019-03-21,True,ASCENDING,S1B_IW_GRDH_1SDV_20190321T155906_20190321T155935_015454_01CF28_4BF5,0166,31
22,2019-03-21,True,DESCENDING,S1A_IW_GRDH_1SDV_20190321T030013_20190321T030038_026430_02F55F_1257,0166,31
21,2019-03-20,True,ASCENDING,S1A_IW_GRDH_1SDV_20190320T160753_20190320T160818_026423_02F51E_5E72,0166,31
20,2019-03-20,True,DESCENDING,S1B_IW_GRDH_1SDV_20190320T030748_20190320T030813_015432_01CE6E_D9C4,0166,31
19,2019-03-20,True,DESCENDING,S1B_IW_GRDH_1SDV_20190320T030723_20190320T030748_015432_01CE6E_8DE3,0166,31
18,2019-03-15,True,ASCENDING,S1A_IW_GRDH_1SDV_20190315T155952_20190315T160020_026350_02F279_65CB,0166,31
17,2019-03-15,True,DESCENDING,S1B_IW_GRDH_1SDV_20190315T025918_20190315T025947_015359_01CC23_D3B2,0166,31
16,2019-03-14,True,ASCENDING,S1B_IW_GRDH_1SDV_20190314T160711_20190314T160736_015352_01CBEE_7F77,0166,31
15,2019-03-14,True,DESCENDING,S1A_IW_GRDH_1SDV_20190314T030815_20190314T030840_026328_02F196_7D7C,0166,31
14,2019-03-09,False,ASCENDING,S1B_IW_GRDH_1SDV_20190309T155906_20190309T155935_015279_01C97E_79BA,0166,31
13,2019-03-09,False,DESCENDING,S1A_IW_GRDH_1SDV_20190309T030013_20190309T030038_026255_02EEF0_7D38,0166,31
12,2019-03-02,False,ASCENDING,S1B_IW_GRDH_1SDV_20190302T160704_20190302T160733_015177_01C638_552B,0166,31
11,2019-03-02,False,DESCENDING,S1A_IW_GRDH_1SDV_20190302T030815_20190302T030840_026153_02EB31_6EB7,0166,31
10,2019-02-25,False,ASCENDING,S1B_IW_GRDH_1SDV_20190225T155906_20190225T155935_015104_01C3BB_E9BE,0166,31
9,2019-02-25,False,DESCENDING,S1A_IW_GRDH_1SDV_20190225T030013_20190225T030038_026080_02E8A1_8FDD,0166,31
8,2019-02-18,False,ASCENDING,S1B_IW_GRDH_1SDV_20190218T160722_20190218T160747_015002_01C07E_5FFD,0166,31
7,2019-02-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190218T030815_20190218T030840_025978_02E4EB_4380,0166,31
6,2019-02-13,False,ASCENDING,S1B_IW_GRDH_1SDV_20190213T155906_20190213T155935_014929_01BDFA_2A13,0166,31
5,2019-02-13,False,DESCENDING,S1A_IW_GRDH_1SDV_20190213T030013_20190213T030038_025905_02E25D_0447,0166,31
4,2019-02-06,False,ASCENDING,S1B_IW_GRDH_1SDV_20190206T160722_20190206T160747_014827_01BABE_2566,0166,31
3,2019-02-06,False,DESCENDING,S1A_IW_GRDH_1SDV_20190206T030815_20190206T030840_025803_02DEB0_ED53,0166,31
2,2019-02-01,False,ASCENDING,S1B_IW_GRDH_1SDV_20190201T155907_20190201T155936_014754_01B83C_9098,0166,31
1,2019-02-01,False,DESCENDING,S1A_IW_GRDH_1SDV_20190201T030014_20190201T030039_025730_02DC2B_1D60,0166,31
13,2019-04-20,False,DESCENDING,S1B_IW_GRDH_1SDV_20190420T024547_20190420T024612_015884_01DD6F_1983,0240,13
12,2019-04-14,False,DESCENDING,S1A_IW_GRDH_1SDV_20190414T024630_20190414T024655_026780_03023B_A4EB,0240,13
11,2019-04-13,False,ASCENDING,S1A_IW_GRDH_1SDV_20190413T144244_20190413T144309_026773_0301F5_9F57,0240,13
10,2019-04-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190412T144954_20190412T145023_015775_01D9BD_94CC,0240,13
9,2019-04-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190412T145023_20190412T145048_015775_01D9BD_4A6C,0240,13
8,2019-04-08,False,DESCENDING,S1B_IW_GRDH_1SDV_20190408T024547_20190408T024612_015709_01D7A5_5DB9,0240,13
7,2019-04-06,False,ASCENDING,S1A_IW_GRDH_1SDV_20190406T145101_20190406T145126_026671_02FE34_475A,0240,13
6,2019-04-02,False,DESCENDING,S1A_IW_GRDH_1SDV_20190402T024630_20190402T024655_026605_02FBD4_16E3,0240,13
4,2019-04-01,False,ASCENDING,S1A_IW_GRDH_1SDV_20190401T144244_20190401T144309_026598_02FB8E_B32F,0240,13
5,2019-03-25,False,ASCENDING,S1A_IW_GRDH_1SDV_20190325T145101_20190325T145126_026496_02F7C2_4E95,0240,13
3,2019-03-20,False,ASCENDING,S1A_IW_GRDH_1SDV_20190320T144244_20190320T144309_026423_02F518_C514,0240,13
2,2019-03-13,False,ASCENDING,S1A_IW_GRDH_1SDV_20190313T145101_20190313T145126_026321_02F14F_AFC8,0240,13
1,2019-03-09,False,DESCENDING,S1A_IW_GRDH_1SDV_20190309T024629_20190309T024654_026255_02EEED_1759,0240,13
16,2019-02-05,False,DESCENDING,S1B_IW_GRDH_1SDV_20190205T031814_20190205T031839_014805_01BA00_B14B,0123,16
15,2019-02-03,False,ASCENDING,S1A_IW_GRDH_1SDV_20190203T163034_20190203T163059_025767_02DD85_552C,0123,16
14,2019-01-29,False,ASCENDING,S1A_IW_GRDH_1SDV_20190129T162225_20190129T162250_025694_02DADC_F742,0123,16
13,2019-01-24,False,DESCENDING,S1B_IW_GRDH_1SDV_20190124T031814_20190124T031839_014630_01B445_90F3,0123,16
12,2019-01-22,False,ASCENDING,S1A_IW_GRDH_1SDV_20190122T163034_20190122T163059_025592_02D726_C805,0123,16
11,2019-01-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190118T031846_20190118T031913_025526_02D4AC_B87A,0123,16
10,2019-01-17,False,ASCENDING,S1A_IW_GRDH_1SDV_20190117T162225_20190117T162250_025519_02D472_6DEF,0123,16
9,2019-01-10,False,ASCENDING,S1A_IW_GRDH_1SDV_20190110T163034_20190110T163059_025417_02D0C4_BEB7,0123,16
8,2019-01-06,False,DESCENDING,S1A_IW_GRDH_1SDV_20190106T031846_20190106T031913_025351_02CE5C_29D0,0123,16
7,2019-01-05,False,ASCENDING,S1A_IW_GRDH_1SDV_20190105T162226_20190105T162251_025344_02CE22_172D,0123,16
6,2018-12-31,False,DESCENDING,S1B_IW_GRDH_1SDV_20181231T031815_20181231T031840_014280_01A906_F242,0123,16
5,2018-12-29,False,ASCENDING,S1A_IW_GRDH_1SDV_20181229T163035_20181229T163100_025242_02CA7B_BBD6,0123,16
4,2018-12-25,False,DESCENDING,S1A_IW_GRDH_1SDV_20181225T031847_20181225T031914_025176_02C80D_9EA8,0123,16
3,2018-12-24,False,ASCENDING,S1A_IW_GRDH_1SDV_20181224T162226_20181224T162251_025169_02C7D4_D3BB,0123,16
2,2018-12-19,False,DESCENDING,S1B_IW_GRDH_1SDV_20181219T031815_20181219T031840_014105_01A339_D736,0123,16
1,2018-12-17,False,ASCENDING,S1A_IW_GRDH_1SDV_20181217T163035_20181217T163100_025067_02C422_888C,0123,16
15,2019-04-17,True,ASCENDING,S1B_IW_GRDH_1SDV_20190417T162320_20190417T162345_015848_01DC3E_605F,61,15
14,2019-04-12,True,DESCENDING,S1A_IW_GRDH_1SDV_20190412T031706_20190412T031731_026751_030125_194F,61,15
13,2019-04-05,True,ASCENDING,S1B_IW_GRDH_1SDV_20190405T162319_20190405T162344_015673_01D66F_BCE7,61,15
12,2019-03-31,True,DESCENDING,S1A_IW_GRDH_1SDV_20190331T031706_20190331T031731_026576_02FABC_DD51,61,15
11,2019-03-30,True,ASCENDING,S1A_IW_GRDH_1SDV_20190330T162340_20190330T162405_026569_02FA83_35E1,61,15
10,2019-03-25,True,DESCENDING,S1B_IW_GRDH_1SDV_20190325T031623_20190325T031648_015505_01D0E3_8490,61,15
9,2019-03-24,True,ASCENDING,S1B_IW_GRDH_1SDV_20190324T162319_20190324T162344_015498_01D0A4_DD55,61,15
8,2019-03-19,True,ASCENDING,S1B_IW_GRDH_1SDV_20190319T161451_20190319T161520_015425_01CE3C_A401,61,15
7,2019-03-19,True,DESCENDING,S1A_IW_GRDH_1SDV_20190319T031705_20190319T031730_026401_02F44F_2D37,61,15
6,2019-03-18,True,ASCENDING,S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335,61,15
5,2019-03-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190312T162319_20190312T162344_015323_01CAFA_AB70,61,15
4,2019-03-07,False,DESCENDING,S1A_IW_GRDH_1SDV_20190307T031705_20190307T031730_026226_02EDD4_6209,61,15
3,2019-02-28,False,ASCENDING,S1B_IW_GRDH_1SDV_20190228T162319_20190228T162344_015148_01C539_5754,61,15
2,2019-02-23,False,DESCENDING,S1A_IW_GRDH_1SDV_20190223T031705_20190223T031730_026051_02E795_2CA5,61,15
1,2019-02-16,False,ASCENDING,S1B_IW_GRDH_1SDV_20190216T162319_20190216T162344_014973_01BF7C_F567,61,15
18,2019-02-12,False,ASCENDING,S1A_IW_GRDH_1SDV_20190212T161246_20190212T161311_025898_02E225_8914,31,18
17,2019-02-07,False,ASCENDING,S1A_IW_GRDH_1SDV_20190207T160454_20190207T160519_025825_02DF8C_59F6,31,18
16,2019-02-03,False,DESCENDING,S1B_IW_GRDH_1SDV_20190203T032731_20190203T032756_014776_01B8F2_A952,31,18
15,2019-02-02,False,DESCENDING,S1A_IW_GRDH_1SDV_20190202T033603_20190202T033628_025745_02DCC1_50D9,31,18
14,2019-01-31,False,ASCENDING,S1A_IW_GRDH_1SDV_20190131T161246_20190131T161311_025723_02DBE9_7D5B,31,18
13,2019-01-26,False,ASCENDING,S1A_IW_GRDH_1SDV_20190126T160455_20190126T160520_025650_02D94A_A0D8,31,18
12,2019-01-22,False,DESCENDING,S1B_IW_GRDH_1SDV_20190122T032731_20190122T032756_014601_01B34A_9A7F,31,18
11,2019-01-19,False,ASCENDING,S1A_IW_GRDH_1SDV_20190119T161247_20190119T161312_025548_02D584_9402,31,18
10,2019-01-16,False,DESCENDING,S1A_IW_GRDH_1SDV_20190116T032801_20190116T032826_025497_02D398_FF1E,31,18
9,2019-01-14,False,ASCENDING,S1A_IW_GRDH_1SDV_20190114T160455_20190114T160520_025475_02D2DC_7BCF,31,18
8,2019-01-10,False,DESCENDING,S1B_IW_GRDH_1SDV_20190110T032731_20190110T032756_014426_01ADAF_D007,31,18
7,2019-01-09,False,DESCENDING,S1A_IW_GRDH_1SDV_20190109T033603_20190109T033628_025395_02D001_797B,31,18
6,2019-01-07,False,ASCENDING,S1A_IW_GRDH_1SDV_20190107T161247_20190107T161312_025373_02CF2E_E152,31,18
5,2019-01-04,False,DESCENDING,S1A_IW_GRDH_1SDV_20190104T032801_20190104T032826_025322_02CD47_5519,31,18
4,2019-01-02,False,ASCENDING,S1A_IW_GRDH_1SDV_20190102T160455_20190102T160520_025300_02CC92_795C,31,18
3,2018-12-29,False,DESCENDING,S1B_IW_GRDH_1SDV_20181229T032732_20181229T032757_014251_01A800_F312,31,18
2,2018-12-28,False,DESCENDING,S1A_IW_GRDH_1SDV_20181228T033604_20181228T033629_025220_02C9B5_B3F7,31,18
1,2018-12-26,False,ASCENDING,S1A_IW_GRDH_1SDV_20181226T161247_20181226T161312_025198_02C8DF_8611,31,18
8,2019-03-07,True,DESCENDING,S1A_IW_GRDH_1SDV_20190307T194432_20190307T194457_026236_02EE37_2A1B,0310,8
7,2019-02-23,True,DESCENDING,S1A_IW_GRDH_1SDV_20190223T194432_20190223T194457_026061_02E7F3_3C3A,0310,8
6,2019-02-12,True,ASCENDING,S1B_IW_GRDH_1SDV_20190212T084222_20190212T084251_014910_01BD61_C22B,0310,8
5,2019-02-11,True,DESCENDING,S1A_IW_GRDH_1SDV_20190211T194432_20190211T194457_025886_02E1B7_4856,0310,8
4,2019-02-06,True,ASCENDING,S1A_IW_GRDH_1SDV_20190206T084322_20190206T084356_025806_02DECC_48D4,0310,8
3,2019-02-05,True,DESCENDING,S1B_IW_GRDH_1SDV_20190205T194327_20190205T194356_014815_01BA56_586F,0310,8
2,2019-01-30,True,DESCENDING,S1A_IW_GRDH_1SDV_20190130T194433_20190130T194458_025711_02DB77_9523,0310,8
1,2019-01-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190118T194433_20190118T194458_025536_02D511_B847,0310,8
16,2019-02-05,False,DESCENDING,S1B_IW_GRDH_1SDV_20190205T031814_20190205T031839_014805_01BA00_B14B,0122,16
15,2019-02-03,False,ASCENDING,S1A_IW_GRDH_1SDV_20190203T163034_20190203T163059_025767_02DD85_552C,0122,16
14,2019-01-29,False,ASCENDING,S1A_IW_GRDH_1SDV_20190129T162225_20190129T162250_025694_02DADC_F742,0122,16
13,2019-01-24,False,DESCENDING,S1B_IW_GRDH_1SDV_20190124T031814_20190124T031839_014630_01B445_90F3,0122,16
12,2019-01-22,False,ASCENDING,S1A_IW_GRDH_1SDV_20190122T163034_20190122T163059_025592_02D726_C805,0122,16
11,2019-01-18,False,DESCENDING,S1A_IW_GRDH_1SDV_20190118T031846_20190118T031913_025526_02D4AC_B87A,0122,16
10,2019-01-17,False,ASCENDING,S1A_IW_GRDH_1SDV_20190117T162225_20190117T162250_025519_02D472_6DEF,0122,16
9,2019-01-10,False,ASCENDING,S1A_IW_GRDH_1SDV_20190110T163034_20190110T163059_025417_02D0C4_BEB7,0122,16
8,2019-01-06,False,DESCENDING,S1A_IW_GRDH_1SDV_20190106T031846_20190106T031913_025351_02CE5C_29D0,0122,16
7,2019-01-05,False,ASCENDING,S1A_IW_GRDH_1SDV_20190105T162226_20190105T162251_025344_02CE22_172D,0122,16
6,2018-12-31,False,DESCENDING,S1B_IW_GRDH_1SDV_20181231T031815_20181231T031840_014280_01A906_F242,0122,16
5,2018-12-29,False,ASCENDING,S1A_IW_GRDH_1SDV_20181229T163035_20181229T163100_025242_02CA7B_BBD6,0122,16
4,2018-12-25,False,DESCENDING,S1A_IW_GRDH_1SDV_20181225T031847_20181225T031914_025176_02C80D_9EA8,0122,16
3,2018-12-24,False,ASCENDING,S1A_IW_GRDH_1SDV_20181224T162226_20181224T162251_025169_02C7D4_D3BB,0122,16
2,2018-12-19,False,DESCENDING,S1B_IW_GRDH_1SDV_20181219T031815_20181219T031840_014105_01A339_D736,0122,16
1,2018-12-17,False,ASCENDING,S1A_IW_GRDH_1SDV_20181217T163035_20181217T163100_025067_02C422_888C,0122,16
11,2019-04-17,True,ASCENDING,S1B_IW_GRDH_1SDV_20190417T162320_20190417T162345_015848_01DC3E_605F,0182,11
10,2019-04-05,True,ASCENDING,S1B_IW_GRDH_1SDV_20190405T162319_20190405T162344_015673_01D66F_BCE7,0182,11
9,2019-03-30,True,ASCENDING,S1A_IW_GRDH_1SDV_20190330T162405_20190330T162427_026569_02FA83_B7DB,0182,11
8,2019-03-30,True,DESCENDING,S1B_IW_GRDH_1SDV_20190330T032422_20190330T032451_015578_01D338_60D7,0182,11
7,2019-03-24,True,ASCENDING,S1B_IW_GRDH_1SDV_20190324T162319_20190324T162344_015498_01D0A4_DD55,0182,11
6,2019-03-24,True,DESCENDING,S1A_IW_GRDH_1SDV_20190324T032522_20190324T032556_026474_02F6FC_FBFA,0182,11
5,2019-03-18,True,ASCENDING,S1A_IW_GRDH_1SDV_20190318T162351_20190318T162420_026394_02F415_5335,0182,11
4,2019-03-12,False,ASCENDING,S1B_IW_GRDH_1SDV_20190312T162319_20190312T162344_015323_01CAFA_AB70,0182,11
3,2019-02-28,False,ASCENDING,S1B_IW_GRDH_1SDV_20190228T162319_20190228T162344_015148_01C539_5754,0182,11
2,2019-02-16,False,ASCENDING,S1B_IW_GRDH_1SDV_20190216T162319_20190216T162344_014973_01BF7C_F567,0182,11
1,2019-02-04,False,ASCENDING,S1B_IW_GRDH_1SDV_20190204T162319_20190204T162344_014798_01B9C3_2CFE,0182,11
3,2019-01-23,False,ASCENDING,S1B_IW_GRDH_1SDV_20190123T162344_20190123T162409_014623_01B40F_3BD7,0046,3
2,2019-01-11,False,ASCENDING,S1B_IW_GRDH_1SDV_20190111T162345_20190111T162410_014448_01AE74_EF21,0046,3
1,2018-12-30,False,ASCENDING,S1B_IW_GRDH_1SDV_20181230T162345_20181230T162410_014273_01A8CE_D597,0046,3
